session_id,user_id,session_start,device,Landing_page,exit_page
SES_00160,USR_00412,2025-05-06 20:35:38,mobile,Home,Product
SES_00161,USR_00866,2025-08-07 21:10:52,laptop,Home,Cart
SES_00162,USR_00415,2025-08-07 22:43:04,mobile,Home,Cart
SES_00163,USR_00556,2025-09-10 15:31:34,tablet,Home,Category
SES_00164,USR_00522,2025-09-17 21:20:31,mobile,Category,landing
SES_00165,USR_00365,2025-04-01 03:26:50,mobile,Home,Category
SES_00166,USR_00637,2025-08-27 05:24:40,mobile,Home,landing
SES_00167,USR_00243,2025-07-05 05:03:28,mobile,Home,Category
SES_00168,USR_00859,2025-01-14 22:40:01,mobile,Category,landing
SES_00169,USR_00718,2025-04-25 08:39:27,tablet,Home,Category
SES_00170,USR_00532,2025-04-26 02:05:46,mobile,Product,landing
SES_00171,USR_00474,2025-10-26 15:24:16,mobile,Home,landing
SES_00172,USR_00087,2025-10-17 07:09:27,mobile,Home,landing
SES_00173,USR_00564,2025-09-18 15:00:22,mobile,Product,Cart
SES_00174,USR_00636,2025-09-27 21:43:53,mobile,Home,landing
SES_00175,USR_00111,2025-09-25 20:10:35,mobile,Category,Product
SES_00176,USR_00439,2025-03-29 19:01:44,mobile,Home,Category
SES_00177,USR_00242,2025-04-02 11:36:42,laptop,Category,Cart
SES_00178,USR_00378,2025-11-15 09:55:51,mobile,Ad_pdp,Checkout
SES_00179,USR_00722,2025-01-09 15:01:41,mobile,Home,landing
SES_00180,USR_00616,2025-05-28 16:25:55,mobile,Home,Checkout
SES_00181,USR_00501,2025-12-23 02:48:24,mobile,Category,Cart
SES_00182,USR_00785,2025-06-06 21:34:41,mobile,Home,Checkout
SES_00183,USR_00427,2025-02-09 18:06:29,laptop,Home,Cart
SES_00184,USR_00835,2025-08-05 19:57:25,laptop,Category,landing
SES_00185,USR_00562,2025-06-06 10:07:31,mobile,Category,Category
SES_00186,USR_00731,2025-06-23 09:29:58,tablet,Home,Category
SES_00187,USR_00957,2025-10-05 14:40:58,mobile,Ad_pdp,Cart
SES_00188,USR_00594,2025-04-20 23:32:27,mobile,Product,landing
SES_00189,USR_00069,2025-01-01 17:26:01,mobile,Home,Product
SES_00190,USR_00603,2025-10-05 18:09:03,mobile,Home,Category
SES_00191,USR_00035,2025-10-06 14:10:27,mobile,Home,Category
SES_00192,USR_00780,2025-01-13 15:19:43,mobile,Category,Category
SES_00193,USR_00595,2025-06-07 08:05:52,tablet,Product,Product
SES_00194,USR_00476,2025-04-21 17:35:37,mobile,Home,landing
SES_00195,USR_00611,2025-05-14 07:58:17,mobile,Category,Checkout
SES_00196,USR_00444,2025-02-08 13:38:51,mobile,Home,Category
SES_00197,USR_00038,2025-12-20 12:26:04,mobile,Category,Product
SES_00198,USR_00236,2025-04-02 00:48:19,tablet,Product,Product
SES_00199,USR_00660,2025-05-30 16:42:13,mobile,Category,landing
SES_00200,USR_00496,2025-08-27 20:29:34,tablet,Home,Cart
SES_00201,USR_00695,2025-11-05 12:32:52,mobile,Ad_pdp,Category
SES_00202,USR_00992,2025-11-15 02:49:36,mobile,Home,landing
SES_00203,USR_00632,2025-11-22 21:09:50,mobile,Home,Checkout
SES_00204,USR_00288,2025-08-09 12:16:54,mobile,Home,Category
SES_00205,USR_00246,2025-12-03 21:12:40,mobile,Ad_pdp,landing
SES_00206,USR_00095,2025-10-02 11:15:23,laptop,Category,landing
SES_00207,USR_00743,2025-04-24 18:32:00,mobile,Category,Product
SES_00208,USR_00214,2025-11-25 04:30:02,mobile,Category,Category
SES_00209,USR_00653,2025-06-28 06:54:49,mobile,Home,landing
SES_00210,USR_00755,2025-03-08 23:01:16,mobile,Home,Cart
SES_00211,USR_00239,2025-04-24 12:51:24,tablet,Home,Cart
SES_00212,USR_00079,2025-01-29 21:48:49,laptop,Home,landing
SES_00213,USR_00441,2025-01-30 16:56:09,mobile,Home,Cart
SES_00214,USR_00030,2025-10-30 08:23:09,mobile,Home,Category
SES_00215,USR_00712,2025-05-18 16:38:05,mobile,Home,Category
SES_00216,USR_00315,2025-11-04 05:49:11,mobile,Category,Category
SES_00217,USR_00032,2025-10-30 11:40:37,laptop,Home,landing
SES_00218,USR_00466,2025-11-29 09:46:54,mobile,Category,Cart
SES_00219,USR_00675,2025-11-15 06:31:18,tablet,Category,landing
SES_00220,USR_00269,2025-05-27 19:23:15,mobile,Home,Product
SES_00221,USR_00296,2025-04-19 11:03:12,mobile,Home,landing
SES_00222,USR_00554,2025-06-20 10:51:45,mobile,Home,landing
SES_00223,USR_00903,2025-07-11 14:18:41,mobile,Home,landing
SES_00224,USR_00093,2025-12-20 23:06:49,laptop,Home,landing
SES_00225,USR_00709,2025-04-22 21:29:32,mobile,Category,landing
SES_00226,USR_00876,2025-12-11 15:00:56,mobile,Ad_pdp,Thank_you
SES_00227,USR_00622,2025-04-06 04:14:41,mobile,Ad_pdp,landing
SES_00228,USR_00118,2025-05-28 16:47:34,mobile,Home,landing
SES_00229,USR_00446,2025-12-13 00:12:23,mobile,Home,Checkout
SES_00230,USR_00421,2025-10-29 00:35:11,mobile,Product,Category
SES_00231,USR_00934,2025-07-18 13:10:15,mobile,Home,landing
SES_00232,USR_00764,2025-03-16 18:34:52,mobile,Home,Category
SES_00233,USR_00827,2025-07-03 06:02:52,tablet,Home,landing
SES_00234,USR_00549,2025-12-12 12:04:16,mobile,Home,Thank_you
SES_00235,USR_00962,2025-04-01 13:47:09,mobile,Category,Product
SES_00236,USR_00996,2025-06-05 04:56:04,tablet,Home,landing
SES_00237,USR_00200,2025-10-03 16:16:25,tablet,Category,landing
SES_00238,USR_00374,2025-12-14 20:41:20,mobile,Home,landing
SES_00239,USR_00044,2025-09-23 12:11:23,mobile,Category,landing
SES_00240,USR_00656,2025-09-19 02:34:07,mobile,Home,Product
SES_00241,USR_00797,2025-05-29 18:20:11,mobile,Category,landing
SES_00242,USR_00321,2025-03-23 18:07:52,mobile,Category,landing
SES_00243,USR_00567,2025-09-02 09:55:12,mobile,Home,Product
SES_00244,USR_00278,2025-04-15 14:07:04,mobile,Ad_pdp,Product
SES_00245,USR_00352,2025-01-27 11:19:37,mobile,Category,Product
SES_00246,USR_00827,2025-03-05 08:31:35,mobile,Product,Checkout
SES_00247,USR_00349,2025-12-21 06:22:40,mobile,Category,Product
SES_00248,USR_00256,2025-08-06 20:20:04,mobile,Home,landing
SES_00249,USR_00761,2025-10-09 04:43:17,mobile,Product,landing
SES_00250,USR_00044,2025-02-05 17:57:06,mobile,Home,landing
SES_00251,USR_00765,2025-06-07 19:40:29,mobile,Home,Product
SES_00252,USR_00331,2025-08-02 12:01:04,mobile,Home,Checkout
SES_00253,USR_00510,2025-04-16 23:26:50,mobile,Home,Cart
SES_00254,USR_00271,2025-03-24 11:09:22,tablet,Category,landing
SES_00255,USR_00433,2025-03-31 00:07:44,mobile,Home,Product
SES_00256,USR_00578,2025-07-15 16:36:54,mobile,Category,Product
SES_00257,USR_00362,2025-09-26 23:29:50,mobile,Home,landing
SES_00258,USR_00959,2025-02-19 05:48:42,mobile,Ad_pdp,Category
SES_00259,USR_00490,2025-01-01 13:26:01,tablet,Home,landing
SES_00260,USR_00611,2025-03-16 07:16:16,mobile,Category,Thank_you
SES_00261,USR_00709,2025-03-17 04:06:33,mobile,Home,landing
SES_00262,USR_00581,2025-12-30 12:00:00,mobile,Home,Category
SES_00263,USR_00305,2025-11-09 21:13:07,mobile,Ad_pdp,landing
SES_00264,USR_00969,2025-06-17 15:20:34,mobile,Category,Product
SES_00265,USR_00131,2025-01-21 05:50:12,mobile,Home,Category
SES_00266,USR_00057,2025-08-23 19:43:18,mobile,Home,Product
SES_00267,USR_00714,2025-07-23 22:24:05,mobile,Category,landing
SES_00268,USR_00952,2025-11-01 14:07:17,mobile,Home,Checkout
SES_00269,USR_00246,2025-11-12 01:51:59,tablet,Category,landing
SES_00270,USR_00237,2025-01-25 02:34:08,mobile,Category,Cart
SES_00271,USR_00677,2025-01-07 03:53:31,mobile,Home,Product
SES_00272,USR_00864,2025-03-03 05:30:36,laptop,Home,Thank_you
SES_00273,USR_00445,2025-06-11 12:31:56,laptop,Home,Category
SES_00274,USR_00804,2025-02-02 12:54:11,mobile,Home,landing
SES_00275,USR_00539,2025-07-18 07:06:20,mobile,Category,Product
SES_00276,USR_00243,2025-12-14 15:51:46,mobile,Home,Product
SES_00277,USR_00700,2025-03-26 17:51:10,laptop,Home,Category
SES_00278,USR_00502,2025-04-22 19:02:52,mobile,Home,Category
SES_00279,USR_00920,2025-09-30 18:08:24,tablet,Category,landing
SES_00280,USR_00030,2025-12-13 15:16:36,mobile,Category,Checkout
SES_00281,USR_00380,2025-05-08 10:54:14,mobile,Home,Category
SES_00282,USR_00938,2025-10-22 20:40:04,mobile,Product,Product
SES_00283,USR_00835,2025-07-11 09:52:50,mobile,Home,Category
SES_00284,USR_00054,2025-01-11 13:25:04,mobile,Product,landing
SES_00285,USR_00233,2025-02-08 18:15:31,mobile,Category,Checkout
SES_00286,USR_00705,2025-03-22 16:47:53,tablet,Home,Product
SES_00287,USR_00809,2025-04-17 08:12:38,mobile,Ad_pdp,Product
SES_00288,USR_00602,2025-11-29 23:10:46,laptop,Home,Category
SES_00289,USR_00892,2025-08-09 17:28:30,mobile,Home,landing
SES_00290,USR_00237,2025-04-26 21:31:07,mobile,Home,Category
SES_00291,USR_00206,2025-06-22 02:04:01,mobile,Home,Cart
SES_00292,USR_00341,2025-04-02 21:48:54,laptop,Home,Category
SES_00293,USR_00993,2025-11-28 01:27:20,mobile,Home,landing
SES_00294,USR_00768,2025-01-14 21:49:53,mobile,Category,Category
SES_00295,USR_00512,2025-02-11 20:56:29,mobile,Home,Category
SES_00296,USR_00544,2025-10-24 16:33:42,laptop,Home,Category
SES_00297,USR_00315,2025-11-17 09:01:25,mobile,Home,Category
SES_00298,USR_00915,2025-05-09 16:02:39,mobile,Home,Product
SES_00299,USR_00998,2025-10-15 00:37:57,mobile,Category,Product
SES_00300,USR_00699,2025-04-19 10:25:54,tablet,Category,Category
SES_00301,USR_00626,2025-06-01 09:18:46,laptop,Home,Category
SES_00302,USR_00667,2025-02-26 19:34:16,mobile,Home,landing
SES_00303,USR_00575,2025-07-21 19:59:23,mobile,Home,landing
SES_00304,USR_00572,2025-11-01 20:39:36,mobile,Category,Product
SES_00305,USR_00947,2025-05-29 16:00:49,mobile,Ad_pdp,Cart
SES_00306,USR_00098,2025-10-24 04:30:18,mobile,Home,Product
SES_00307,USR_00885,2025-04-09 16:37:39,laptop,Home,Checkout
SES_00308,USR_00179,2025-04-25 03:18:04,mobile,Product,Cart
SES_00309,USR_00367,2025-09-20 09:51:21,mobile,Home,Product
SES_00310,USR_00836,2025-11-28 13:58:20,laptop,Ad_pdp,landing
SES_00311,USR_00744,2025-08-29 23:10:57,mobile,Product,Category
SES_00312,USR_00705,2025-03-12 07:14:51,mobile,Home,Thank_you
SES_00313,USR_00334,2025-06-04 12:48:54,mobile,Home,Cart
SES_00314,USR_00017,2025-01-07 18:10:09,mobile,Home,Product
SES_00315,USR_00907,2025-06-28 17:06:39,mobile,Home,landing
SES_00316,USR_00809,2025-12-16 20:27:21,mobile,Home,Category
SES_00317,USR_00281,2025-06-27 16:50:23,laptop,Home,Cart
SES_00318,USR_00301,2025-12-14 10:25:31,mobile,Home,Cart
SES_00319,USR_00508,2025-01-06 23:42:52,mobile,Category,landing
SES_00320,USR_00407,2025-10-18 20:26:11,mobile,Home,landing
SES_00321,USR_00796,2025-05-31 14:48:32,mobile,Home,Product
SES_00322,USR_00665,2025-11-30 06:56:51,laptop,Ad_pdp,Category
SES_00323,USR_00728,2025-07-13 18:28:14,mobile,Home,Product
SES_00324,USR_00278,2025-10-06 00:16:40,mobile,Category,Category
SES_00325,USR_00579,2025-01-22 06:38:40,tablet,Home,Cart
SES_00326,USR_00764,2025-01-05 01:36:07,mobile,Home,Category
SES_00327,USR_00906,2025-06-30 06:54:48,mobile,Home,Product
SES_00328,USR_00627,2025-05-03 22:58:50,mobile,Home,landing
SES_00329,USR_00116,2025-09-06 11:26:06,mobile,Home,Category
SES_00330,USR_00787,2025-04-02 04:42:56,mobile,Ad_pdp,Category
SES_00331,USR_00262,2025-11-21 05:43:39,mobile,Home,landing
SES_00332,USR_00687,2025-06-22 11:45:10,mobile,Home,Checkout
SES_00333,USR_00888,2025-02-20 18:19:43,mobile,Product,Category
SES_00334,USR_00233,2025-03-27 08:54:22,mobile,Home,landing
SES_00335,USR_00777,2025-08-09 19:17:31,mobile,Category,landing
SES_00336,USR_00666,2025-11-27 23:04:27,laptop,Home,Product
SES_00337,USR_00786,2025-02-21 06:37:06,mobile,Home,Category
SES_00338,USR_00987,2025-09-19 10:08:23,mobile,Home,Category
SES_00339,USR_00941,2025-05-16 23:28:51,mobile,Home,Product
SES_00340,USR_00293,2025-04-24 11:08:50,tablet,Home,landing
SES_00341,USR_00042,2025-10-14 12:54:06,mobile,Category,Cart
SES_00342,USR_00911,2025-02-01 12:14:05,mobile,Home,Category
SES_00343,USR_00982,2025-01-09 06:54:13,mobile,Home,Product
SES_00344,USR_00690,2025-07-18 06:40:23,mobile,Category,landing
SES_00345,USR_00141,2025-01-25 20:09:11,mobile,Category,landing
SES_00346,USR_00762,2025-04-30 12:01:03,mobile,Home,Cart
SES_00347,USR_00308,2025-08-10 22:34:21,laptop,Home,landing
SES_00348,USR_00945,2025-04-18 16:15:19,mobile,Home,Product
SES_00349,USR_00214,2025-11-24 17:07:38,mobile,Home,Category
SES_00350,USR_00245,2025-05-12 17:52:10,laptop,Ad_pdp,landing
SES_00351,USR_00587,2025-12-06 21:57:32,mobile,Category,Cart
SES_00352,USR_00057,2025-12-11 13:30:16,mobile,Home,Category
SES_00353,USR_00451,2025-02-09 08:51:36,laptop,Home,Category
SES_00354,USR_00253,2025-10-04 06:15:22,mobile,Product,landing
SES_00355,USR_00407,2025-07-12 05:23:01,mobile,Home,landing
SES_00356,USR_00194,2025-03-07 03:10:00,laptop,Home,Cart
SES_00357,USR_00757,2025-03-24 18:57:54,mobile,Product,landing
SES_00358,USR_00683,2025-11-12 11:18:38,mobile,Home,Product
SES_00359,USR_00357,2025-03-20 03:22:13,mobile,Product,landing
SES_00360,USR_00913,2025-02-12 17:03:40,mobile,Ad_pdp,Category
SES_00361,USR_00495,2025-01-06 14:56:02,laptop,Product,landing
SES_00362,USR_00106,2025-05-19 11:58:12,tablet,Home,Cart
SES_00363,USR_00084,2025-11-09 15:04:33,mobile,Home,Product
SES_00364,USR_00013,2025-11-06 07:41:44,laptop,Category,landing
SES_00365,USR_00096,2025-04-27 10:30:39,mobile,Ad_pdp,Category
SES_00366,USR_00785,2025-03-19 14:20:30,mobile,Product,Thank_you
SES_00367,USR_00874,2025-11-16 09:23:56,mobile,Home,Product
SES_00368,USR_00141,2025-02-06 13:28:34,mobile,Ad_pdp,Category
SES_00369,USR_00208,2025-03-27 17:03:41,laptop,Home,landing
SES_00370,USR_00431,2025-12-23 17:54:53,mobile,Ad_pdp,Product
SES_00371,USR_00368,2025-12-10 11:16:35,mobile,Category,landing
SES_00372,USR_00422,2025-08-21 21:41:54,mobile,Home,Product
SES_00373,USR_00436,2025-10-07 01:40:08,mobile,Product,landing
SES_00374,USR_00412,2025-08-15 07:04:01,mobile,Home,Category
SES_00375,USR_00843,2025-03-16 15:42:48,mobile,Category,landing
SES_00376,USR_00788,2025-10-02 05:50:39,mobile,Home,landing
SES_00377,USR_00264,2025-02-14 18:17:44,tablet,Ad_pdp,landing
SES_00378,USR_00630,2025-05-30 18:02:01,mobile,Category,Category
SES_00379,USR_00002,2025-04-07 01:01:31,mobile,Home,Product
SES_00380,USR_00059,2025-06-05 17:49:45,mobile,Product,Category
SES_00381,USR_00116,2025-01-05 05:27:36,mobile,Home,Category
SES_00382,USR_00856,2025-06-13 14:33:19,mobile,Home,landing
SES_00383,USR_00882,2025-01-17 08:21:55,mobile,Home,Product
SES_00384,USR_00378,2025-01-09 06:58:56,mobile,Product,Category
SES_00385,USR_00908,2025-10-06 12:51:13,mobile,Category,Checkout
SES_00386,USR_00452,2025-12-06 00:25:18,laptop,Home,Category
SES_00387,USR_00398,2025-05-09 03:09:39,mobile,Ad_pdp,Product
SES_00388,USR_00670,2025-11-06 10:41:09,laptop,Home,landing
SES_00389,USR_00573,2025-09-14 04:19:43,mobile,Home,Thank_you
SES_00390,USR_00998,2025-08-27 08:54:54,mobile,Ad_pdp,landing
SES_00391,USR_00237,2025-12-02 01:31:57,mobile,Category,Category
