Session_id,reason_category,reported_at
SES_00414,Payment method declined,2025-01-30 22:43:02
SES_00416,Just browsing/saved for later,2025-11-07 19:49:24
SES_00418,Size/fit doubt,2025-05-14 07:09:09
SES_00425,Size/fit doubt,2025-08-04 22:00:41
SES_00429,Size/fit doubt,2025-03-29 03:38:13
SES_00435,Size/fit doubt,2025-01-25 22:44:15
SES_00436,Just browsing/saved for later,2025-10-14 11:33:14
SES_00439,Shipping cost too high,2025-03-25 10:59:29
SES_00444,Website technical error,2025-05-03 07:13:50
SES_00447,Just browsing/saved for later,2025-02-13 11:10:02
SES_00449,Payment method declined,2025-10-20 14:01:55
SES_00450,Just browsing/saved for later,2025-09-01 04:47:30
SES_00453,Size/fit doubt,2025-10-21 20:22:32
SES_00465,Found better price elsewhere,2025-09-28 06:53:24
SES_00469,Shipping cost too high,2025-04-21 22:08:13
SES_00476,Size/fit doubt,2025-07-01 03:57:43
SES_00478,Shipping cost too high,2025-02-24 15:06:31
SES_00484,Just browsing/saved for later,2025-02-05 01:05:11
SES_00490,Size/fit doubt,2025-01-24 02:06:00
SES_00491,Website technical error,2025-06-17 06:56:29
SES_00496,Just browsing/saved for later,2025-06-20 12:21:49
SES_00504,Size/fit doubt,2025-06-12 07:28:10
SES_00510,Just browsing/saved for later,2025-12-30 16:36:25
SES_00521,Shipping cost too high,2025-06-10 01:30:50
SES_00529,Shipping cost too high,2025-03-15 01:33:12
SES_00536,Size/fit doubt,2025-06-28 12:40:39
SES_00547,Shipping cost too high,2025-05-29 02:06:35
SES_00560,Shipping cost too high,2025-10-05 01:11:21
SES_00562,Size/fit doubt,2025-02-22 18:47:51
SES_00564,Shipping cost too high,2025-01-17 02:07:26
SES_00573,Website technical error,2025-03-05 07:53:12
SES_00574,Size/fit doubt,2025-08-12 21:56:29
SES_00576,Shipping cost too high,2025-02-02 13:13:44
SES_00579,Size/fit doubt,2025-05-26 01:26:34
SES_00591,Payment method declined,2025-03-06 08:17:53
SES_00604,Size/fit doubt,2025-08-21 19:59:03
SES_00605,Size/fit doubt,2025-09-30 16:54:55
SES_00614,Size/fit doubt,2025-04-05 07:14:51
SES_00627,Size/fit doubt,2025-11-09 22:59:55
SES_00629,Size/fit doubt,2025-07-05 15:29:29
SES_00639,Size/fit doubt,2025-01-19 00:09:55
SES_00650,Size/fit doubt,2025-10-07 12:33:10
SES_00666,Size/fit doubt,2025-11-30 13:30:50
SES_00675,Size/fit doubt,2025-07-02 20:35:04
SES_00676,Size/fit doubt,2025-11-30 22:25:11
SES_00677,Size/fit doubt,2025-05-09 01:47:08
SES_00679,Size/fit doubt,2025-02-20 14:45:33
SES_00682,Size/fit doubt,2025-06-08 04:23:38
SES_00683,Just browsing/saved for later,2025-10-15 01:58:56
SES_00690,Found better price elsewhere,2025-09-25 20:15:24
SES_00705,Found better price elsewhere,2025-12-20 23:51:40
SES_00710,Size/fit doubt,2025-07-16 15:20:38
SES_00722,Shipping cost too high,2025-06-12 17:39:42
SES_00729,Size/fit doubt,2025-01-10 04:52:55
SES_00734,Payment method declined,2025-09-20 14:00:28
SES_00735,Shipping cost too high,2025-05-28 23:32:02
SES_00740,Just browsing/saved for later,2025-01-29 15:09:49
SES_00742,Just browsing/saved for later,2025-12-04 16:04:06
SES_00745,Shipping cost too high,2025-06-08 11:28:31
SES_00751,Size/fit doubt,2025-05-25 14:30:32
SES_00753,Size/fit doubt,2025-09-01 23:42:15
SES_00763,Size/fit doubt,2025-06-09 11:59:39
SES_00770,Size/fit doubt,2025-03-12 23:20:13
SES_00772,Shipping cost too high,2025-10-23 03:10:23
SES_00774,Size/fit doubt,2025-04-14 01:21:01
SES_00778,Just browsing/saved for later,2025-04-22 07:11:20
SES_00780,Found better price elsewhere,2025-04-06 16:22:01
SES_00789,Payment method declined,2025-01-26 13:23:06
SES_00791,Shipping cost too high,2025-06-29 06:57:59
SES_00794,Shipping cost too high,2025-08-02 14:59:47
SES_00795,Size/fit doubt,2025-12-03 01:34:59
SES_00807,Size/fit doubt,2025-07-15 13:58:21
SES_00808,Size/fit doubt,2025-10-08 00:37:18
SES_00809,Shipping cost too high,2025-06-05 04:01:51
SES_00813,Size/fit doubt,2025-05-05 19:20:54
SES_00815,Size/fit doubt,2025-04-10 18:34:45
SES_00817,Size/fit doubt,2025-08-28 02:13:29
SES_00826,Found better price elsewhere,2025-09-06 18:34:00
SES_00827,Size/fit doubt,2025-10-06 21:08:11
SES_00828,Shipping cost too high,2025-12-18 16:31:47
SES_00830,Size/fit doubt,2025-10-05 05:55:40
SES_00834,Shipping cost too high,2025-12-05 12:40:44
SES_00839,Just browsing/saved for later,2025-05-13 05:07:39
SES_00841,Shipping cost too high,2025-11-27 20:24:49
SES_00853,Just browsing/saved for later,2025-07-14 01:32:08
SES_00863,Size/fit doubt,2025-12-17 06:23:15
SES_00876,Size/fit doubt,2025-03-09 04:53:22
SES_00878,Size/fit doubt,2025-11-05 01:52:39
SES_00879,Size/fit doubt,2025-12-11 05:29:00
SES_00891,Website technical error,2025-08-22 22:40:45
SES_00892,Size/fit doubt,2025-08-26 00:12:47
SES_00895,Payment method declined,2025-08-27 21:05:53
SES_00900,Size/fit doubt,2025-04-09 21:58:53
SES_00905,Size/fit doubt,2025-03-18 09:26:28
SES_00911,Shipping cost too high,2025-06-18 13:14:47
SES_00919,Just browsing/saved for later,2025-07-02 18:02:11
SES_00936,Shipping cost too high,2025-09-20 18:00:44
SES_00941,Shipping cost too high,2025-11-17 07:03:28
SES_00944,Payment method declined,2025-12-10 12:03:43
SES_00948,Size/fit doubt,2025-09-08 07:10:50
SES_00953,Size/fit doubt,2025-01-18 19:23:03
SES_00959,Just browsing/saved for later,2025-05-24 07:07:29
SES_00967,Found better price elsewhere,2025-10-19 17:15:21
SES_00974,Shipping cost too high,2025-09-25 03:15:30
SES_00976,Website technical error,2025-03-16 04:09:54
SES_00998,Shipping cost too high,2025-10-04 17:48:49
SES_01002,Size/fit doubt,2025-03-14 21:53:28
SES_01003,Size/fit doubt,2025-10-20 01:47:10
SES_01005,Found better price elsewhere,2025-04-29 11:46:36
SES_01013,Payment method declined,2025-12-21 03:39:14
SES_01016,Size/fit doubt,2025-11-22 11:59:38
SES_01017,Just browsing/saved for later,2025-03-15 18:04:08
SES_01018,Size/fit doubt,2025-09-01 01:44:27
SES_01022,Payment method declined,2025-03-12 12:40:36
SES_01041,Size/fit doubt,2025-08-08 23:24:46
SES_01047,Size/fit doubt,2025-03-12 18:24:47
SES_01049,Size/fit doubt,2025-05-17 02:52:02
SES_01058,Shipping cost too high,2025-12-28 01:22:58
SES_01067,Found better price elsewhere,2025-02-22 17:04:48
SES_01068,Size/fit doubt,2025-09-27 09:03:56
SES_01076,Size/fit doubt,2025-09-20 06:30:21
SES_01078,Website technical error,2025-02-25 03:16:11
SES_01086,Size/fit doubt,2025-10-09 10:20:19
SES_01088,Found better price elsewhere,2025-08-05 14:29:39
SES_01090,Shipping cost too high,2025-11-23 08:19:32
SES_01096,Shipping cost too high,2025-01-14 07:44:41
SES_01098,Shipping cost too high,2025-12-12 19:45:19
SES_01113,Payment method declined,2025-12-09 14:58:20
SES_01115,Found better price elsewhere,2025-12-25 07:33:12
SES_01124,Shipping cost too high,2025-05-29 01:00:40
SES_01126,Just browsing/saved for later,2025-11-08 07:44:57
SES_01138,Shipping cost too high,2025-11-11 11:35:59
SES_01139,Shipping cost too high,2025-04-23 11:53:31
SES_01142,Found better price elsewhere,2025-09-14 06:23:01
SES_01149,Just browsing/saved for later,2025-10-05 19:47:01
SES_01158,Size/fit doubt,2025-07-03 03:26:32
SES_01163,Size/fit doubt,2025-10-11 17:54:49
SES_01172,Size/fit doubt,2025-11-02 09:02:54
SES_01173,Size/fit doubt,2025-12-18 20:36:15
SES_01180,Size/fit doubt,2025-09-19 20:48:25
SES_01199,Shipping cost too high,2025-11-08 08:25:49
SES_01200,Just browsing/saved for later,2025-04-22 14:52:20
SES_01202,Payment method declined,2025-10-06 02:50:05
SES_01210,Shipping cost too high,2025-10-31 01:45:13
SES_01214,Size/fit doubt,2025-01-11 03:36:32
SES_01222,Just browsing/saved for later,2025-01-26 14:52:14
SES_01225,Just browsing/saved for later,2025-03-05 16:03:47
SES_01227,Just browsing/saved for later,2025-12-15 19:14:01
SES_01236,Size/fit doubt,2025-09-28 10:37:03
SES_01245,Website technical error,2025-04-28 06:17:53
SES_01247,Size/fit doubt,2025-01-18 01:43:57
SES_01252,Size/fit doubt,2025-03-20 06:05:53
SES_01257,Size/fit doubt,2025-01-16 23:47:26
SES_01266,Size/fit doubt,2025-04-15 14:10:20
SES_01269,Payment method declined,2025-01-03 23:58:20
SES_01270,Just browsing/saved for later,2025-01-31 03:41:40
SES_01274,Just browsing/saved for later,2025-09-29 13:16:10
SES_01281,Size/fit doubt,2025-11-08 19:58:33
SES_01286,Found better price elsewhere,2025-11-03 04:37:41
SES_01297,Size/fit doubt,2025-11-18 12:27:03
SES_01299,Just browsing/saved for later,2025-02-22 17:09:11
SES_01310,Shipping cost too high,2025-08-29 16:13:43
SES_01317,Found better price elsewhere,2025-04-12 10:49:23
SES_01320,Size/fit doubt,2025-09-02 09:48:49
SES_01337,Just browsing/saved for later,2025-10-21 14:25:00
SES_01339,Size/fit doubt,2025-01-11 13:11:00
SES_01340,Payment method declined,2025-05-29 06:56:15
SES_01351,Shipping cost too high,2025-07-22 22:01:57
SES_01358,Found better price elsewhere,2025-07-05 02:43:33
SES_01360,Shipping cost too high,2025-03-10 14:38:27
SES_01362,Size/fit doubt,2025-05-29 02:19:26
SES_01363,Shipping cost too high,2025-10-16 21:26:27
SES_01367,Just browsing/saved for later,2025-12-15 02:56:50
SES_01371,Just browsing/saved for later,2025-03-11 15:19:06
SES_01373,Size/fit doubt,2025-08-19 04:17:31
SES_01376,Size/fit doubt,2025-09-26 08:35:43
SES_01382,Just browsing/saved for later,2025-11-11 02:52:52
SES_01383,Just browsing/saved for later,2025-05-03 14:19:22
SES_01398,Size/fit doubt,2025-01-28 08:27:30
SES_01399,Size/fit doubt,2025-10-03 10:22:47
SES_01404,Shipping cost too high,2025-09-03 09:16:12
SES_01405,Shipping cost too high,2025-07-25 17:09:43
SES_01408,Size/fit doubt,2025-09-20 19:54:41
SES_01432,Shipping cost too high,2025-01-05 05:21:44
SES_01440,Size/fit doubt,2025-10-07 02:34:44
SES_01445,Size/fit doubt,2025-05-03 21:34:21
SES_01448,Just browsing/saved for later,2025-12-20 01:33:24
SES_01452,Shipping cost too high,2025-06-24 19:05:25
SES_01454,Size/fit doubt,2025-07-29 14:06:52
SES_01461,Payment method declined,2025-06-03 02:07:17
SES_01471,Just browsing/saved for later,2025-10-27 12:37:38
SES_01472,Size/fit doubt,2025-04-02 12:36:37
SES_01492,Shipping cost too high,2025-05-12 09:20:14
SES_01497,Shipping cost too high,2025-01-18 08:52:24
SES_01498,Just browsing/saved for later,2025-05-30 11:43:19
SES_01501,Size/fit doubt,2025-07-28 17:29:24
SES_01502,Size/fit doubt,2025-10-20 03:36:57
SES_01503,Just browsing/saved for later,2025-04-02 15:12:06
SES_01507,Size/fit doubt,2025-02-13 00:59:45
SES_01509,Shipping cost too high,2025-06-26 21:31:29
SES_01528,Size/fit doubt,2025-10-04 06:31:44
SES_01541,Just browsing/saved for later,2025-01-17 03:01:55
SES_01543,Size/fit doubt,2025-07-22 17:19:57
SES_01545,Shipping cost too high,2025-09-05 00:19:09
SES_01552,Size/fit doubt,2025-07-27 14:03:13
SES_01556,Just browsing/saved for later,2025-11-03 06:30:21
SES_01568,Shipping cost too high,2025-08-23 01:17:14
SES_01580,Size/fit doubt,2025-09-12 01:45:16
SES_01585,Size/fit doubt,2025-11-10 13:10:21
SES_01591,Found better price elsewhere,2025-07-29 22:24:27
SES_01595,Shipping cost too high,2025-08-29 20:59:12
SES_01604,Shipping cost too high,2025-08-24 18:02:14
SES_01610,Size/fit doubt,2025-07-06 07:51:35
SES_01613,Size/fit doubt,2025-09-09 23:49:51
SES_01623,Payment method declined,2025-07-11 19:46:56
SES_01625,Found better price elsewhere,2025-03-23 02:41:15
SES_01628,Size/fit doubt,2025-03-04 17:18:41
SES_01642,Size/fit doubt,2025-01-27 23:33:53
SES_01647,Just browsing/saved for later,2025-04-10 07:50:05
SES_01650,Shipping cost too high,2025-03-22 16:39:36
SES_01657,Shipping cost too high,2025-03-27 14:22:31
SES_01659,Shipping cost too high,2025-02-25 07:46:56
SES_01666,Just browsing/saved for later,2025-01-12 07:20:42
SES_01668,Just browsing/saved for later,2025-04-15 20:02:02
SES_01671,Size/fit doubt,2025-07-19 08:03:40
SES_01676,Shipping cost too high,2025-04-23 12:57:34
SES_01678,Shipping cost too high,2025-04-02 08:32:12
SES_01680,Found better price elsewhere,2025-01-26 13:05:53
SES_01687,Size/fit doubt,2025-11-10 19:11:53
SES_01696,Just browsing/saved for later,2025-07-15 21:27:04
SES_01701,Size/fit doubt,2025-09-11 10:41:19
SES_01702,Size/fit doubt,2025-10-25 19:10:33
SES_01707,Shipping cost too high,2025-08-21 16:03:45
SES_01714,Shipping cost too high,2025-02-06 09:55:31
SES_01717,Size/fit doubt,2025-06-10 07:53:01
SES_01728,Shipping cost too high,2025-03-20 15:08:02
SES_01731,Size/fit doubt,2025-08-04 09:12:09
SES_01746,Size/fit doubt,2025-10-16 13:34:26
SES_01752,Shipping cost too high,2025-11-15 09:55:54
SES_01758,Just browsing/saved for later,2025-05-22 16:01:13
SES_01768,Size/fit doubt,2025-12-14 01:55:01
SES_01773,Size/fit doubt,2025-07-14 07:15:29
SES_01776,Shipping cost too high,2025-05-26 13:42:27
SES_01781,Size/fit doubt,2025-07-28 15:44:54
SES_01788,Payment method declined,2025-05-24 23:17:46
SES_01791,Size/fit doubt,2025-05-01 02:08:05
